1;Caribbean-Inspired Grilled Chicken Kabobs;Caribbean-inspired chicken kabobs. You can substitute green pepper for the red pepper, if desired.;https://images.media-allrecipes.com/userphotos/560x315/3301902.jpg;https://www.allrecipes.com/recipe/238688/caribbean-inspired-grilled-chicken-kabobs/?internalSource=staff%20pick&referringId=1320&referringContentType=recipe%20hub
2;Carrot, Tomato, and Spinach Quinoa Pilaf with Ground Turkey;I took some leftover quinoa pilaf and added black beans and ground turkey. It made an excellent one-dish meal that hits the table in a hurry. I found it was a good way to use up the leftovers from another dinner.;https://images.media-allrecipes.com/userphotos/560x315/2281755.jpg;https://www.allrecipes.com/recipe/240473/carrot-tomato-and-spinach-quinoa-pilaf-with-ground-turkey/?internalSource=staff%20pick&referringId=1320&referringContentType=recipe%20hub
3;Spaghetti Diablo with Shrimp;The sauce was tangy and sharp, mellow by my standards for spice, but just right for Nancy and Quinn. Topped with the shrimp, Pecorino cheese and some parsley, it was very satisfying.;https://images.media-allrecipes.com/userphotos/560x315/1017059.jpg;https://www.allrecipes.com/recipe/222968/spaghetti-diablo-with-shrimp/?internalSource=staff%20pick&referringId=1320&referringContentType=recipe%20hub
4;Maple Salmon;This is the best and most delicious salmon recipe, and very easy to prepare. I love maple in everything and put this together one night. My husband totally loved it, he did not like salmon that much until he had this.;https://images.media-allrecipes.com/userphotos/720x405/862371.jpg;https://www.allrecipes.com/recipe/51283/maple-salmon/?internalSource=hub%20recipe&referringId=1320&referringContentType=recipe%20hub
5;Lemon Asparagus Risotto;Lower in fat than most risotto recipes but no one will know! I like to serve this as a main dish under some steamed halibut or other white fish.;https://images.media-allrecipes.com/userphotos/560x315/4535515.jpg;https://www.allrecipes.com/recipe/228824/lemon-asparagus-risotto/?internalSource=staff%20pick&referringId=1320&referringContentType=recipe%20hub
6;Baked Honey Mustard Chicken;Quick and easy to prepare, and the kids love it too!;https://images.media-allrecipes.com/userphotos/720x405/2334.jpg;https://www.allrecipes.com/recipe/8847/baked-honey-mustard-chicken/?internalSource=hub%20recipe&referringId=1320&referringContentType=recipe%20hub
7;Unbelievable Chicken;This unusual combination of common ingredients is fabulous! Everyone who tastes it asks me to share the recipe. You will love it and the many compliments you get--I promise!;https://images.media-allrecipes.com/userphotos/720x405/3697284.jpg;https://www.allrecipes.com/recipe/30522/unbelievable-chicken/?internalSource=hub%20recipe&referringId=1320&referringContentType=recipe%20hub
8;Vegetarian Chickpea Sandwich Filling;Serve this tasty sandwich spread on crusty whole grain rolls or pita bread, with lettuce and tomato. Other raw, chopped vegetables can be substituted for the celery. Your favorite salad dressing can be substituted for the mayo.;https://images.media-allrecipes.com/userphotos/720x405/362677.jpg;https://www.allrecipes.com/recipe/16715/vegetarian-chickpea-sandwich-filling/?internalSource=hub%20recipe&referringId=1320&referringContentType=recipe%20hub
9;Caribbean-Inspired Grilled Chicken Kabobs;Caribbean-inspired chicken kabobs. You can substitute green pepper for the red pepper, if desired.;https://images.media-allrecipes.com/userphotos/560x315/3465422.jpg;https://www.allrecipes.com/recipe/238688/caribbean-inspired-grilled-chicken-kabobs/?internalSource=staff%20pick&referringId=1320&referringContentType=recipe%20hub
10;Garlic Chicken with Orzo Noodles;This is a simple recipe with a spicy kick for garlic lovers. It is my combination of a much loved linguine and clam sauce dish and a recent introduction to orzo pasta. I have several variations for this recipe.;https://images.media-allrecipes.com/userphotos/250x250/825212.jpg;https://www.allrecipes.com/recipe/84109/garlic-chicken-with-orzo-noodles/?internalSource=recipe%20hub&referringId=1320&referringContentType=recipe%20hub&clickId=cardslot%2028
